,sno,sna,tot,sbi,sarea,mday,ar,bemp,act
604,500107078,YouBike2.0_永盛公園(民生東路一段23巷),24,1,中山區,2023-05-27 13:41:16,民生東路一段23巷/民生東路一段27巷口,23,1
605,500107079,YouBike2.0_新生錦州街口,20,3,中山區,2023-05-27 13:38:14,新生北路二段100號前,17,1
606,500107080,YouBike2.0_濱江街199巷口,15,2,中山區,2023-05-27 13:33:04,濱江街199巷(八號疏散門前),13,1
607,500107081,YouBike2.0_大佳社區公園,15,0,中山區,2023-05-27 10:38:04,濱江街154巷對側,15,1
609,500107083,YouBike2.0_興安合江路口,19,2,中山區,2023-05-27 13:40:21,興安街60號對側,17,1
610,500107084,YouBike2.0_復興北路514巷口東側,10,0,中山區,2023-05-27 13:41:04,復興北路514巷66號前側,9,1
611,500107085,YouBike2.0_台泥大樓,18,1,中山區,2023-05-27 13:35:14,中山北路二段113-133號前,15,1
615,500107089,YouBike2.0_南京龍江路口,15,2,中山區,2023-05-27 13:25:15,南京東路三段121號前,13,1
620,500107095,YouBike2.0_中429公園,15,0,中山區,2023-05-27 10:24:04,敬業三路177巷南側,15,1
622,500107097,YouBike2.0_松江民生路口,17,3,中山區,2023-05-27 13:38:14,松江路208號前,13,1
624,500107099,YouBike2.0_長春吉林路口,10,3,中山區,2023-05-27 13:32:14,長春路120號前,7,1
625,500107100,YouBike2.0_長春一江街口,11,1,中山區,2023-05-27 13:45:16,長春路135號前,10,1
631,500107106,YouBike2.0_新生農安街口,15,0,中山區,2023-05-27 12:58:04,新生北路三段與農安街口(高架橋下),15,1
632,500107107,YouBike2.0_稻江高級護理家事職業學校,14,2,中山區,2023-05-27 13:45:16,農安街77巷與農安街77巷1弄口,11,1
633,500107108,YouBike2.0_捷運大直站(3號出口)_1,18,1,中山區,2023-05-27 13:46:04,北安路458巷41弄52之1號前,17,1
635,500107110,YouBike2.0_民權吉林路口(南側),16,1,中山區,2023-05-27 13:46:15,民權東路二段46號前,15,1
637,500107112,YouBike2.0_民權新生路口,26,1,中山區,2023-05-27 13:46:15,民權東路一段/新生北路三段(北側)(新生高架橋下),25,1
638,500107113,YouBike2.0_建國長春路口(北側),20,3,中山區,2023-05-27 13:31:15,建國北路/長春路口(北側),15,1
639,500107114,YouBike2.0_中山行政中心,24,1,中山區,2023-05-27 13:41:16,松江路/農安街口,21,1
642,500107117,YouBike2.0_濱江國小游泳池,16,1,中山區,2023-05-27 13:08:14,樂群二路266巷99號前,14,1
644,500107119,YouBike2.0_中428公園,15,1,中山區,2023-05-27 13:34:14,樂群二路30巷/樂群二路116巷61弄,14,1
645,500107120,YouBike2.0_復華公園,20,2,中山區,2023-05-27 13:44:17,南京東路三段109巷/龍江路120巷,18,1
648,500107123,YouBike2.0_八德市場(北側),16,3,中山區,2023-05-27 13:44:17,建國南路一段/市民大道交叉口(北側),12,1
649,500107124,YouBike2.0_龍江朱崙街口,14,3,中山區,2023-05-27 13:38:14,龍江路/朱崙街口西北側,11,1
652,500107127,YouBike2.0_民權建國路口(南側),15,0,中山區,2023-05-27 13:40:10,民權東路三段/建國北路二段(南側高架橋下),14,1
653,500107128,YouBike2.0_林森德惠街口,16,1,中山區,2023-05-27 13:40:21,德惠街11號東側,14,1
654,500107129,YouBike2.0_新生濱江街口(東南側),21,2,中山區,2023-05-27 13:43:14,新生北路三段/濱江街口(東南側),19,1
655,500107130,YouBike2.0_新生北路一段62巷口,20,1,中山區,2023-05-27 13:15:15,新生北路一段64號對側,19,1
656,500107131,YouBike2.0_新生長春路口(東北側),19,0,中山區,2023-05-27 13:13:04,新生北路二段39-2號對側,18,1
658,500107133,YouBike2.0_敬業三樂群三路口(西北側),16,1,中山區,2023-05-27 13:46:15,敬業三路/樂群三路口,15,1
659,500107134,YouBike2.0_長春路258巷2弄口,15,3,中山區,2023-05-27 13:05:16,長春路258巷6號北側,12,1
661,500107136,YouBike2.0_建國五常街口,20,1,中山區,2023-05-27 13:45:16,建國北路三段/五常街,19,1
663,500107138,YouBike2.0_市民安東街口,20,1,中山區,2023-05-27 13:17:32,市民大道三段179號前,19,1
664,500107139,YouBike2.0_市民大道二段5巷口,15,3,中山區,2023-05-27 13:36:15,市民大道二段/市民大道二段5巷,12,1
665,500108001,YouBike2.0_文湖街21巷118弄口,19,0,內湖區,2023-05-27 13:03:04,文湖街21巷118弄6-10號(前),18,1
