,編號,名稱,車輛數,可借,行政區,日期,地址,可還,狀態
167,500103003,YouBike2.0_合昌宮,15,4,大同區,2023-05-27 15:46:15,環河北路二段371號旁,11,1
168,500103004,YouBike2.0_民族延平路口,23,1,大同區,2023-05-27 15:44:14,延平北路三段123號北側,22,1
169,500103005,YouBike2.0_重慶酒泉街口,30,0,大同區,2023-05-27 15:41:04,重慶北路三段260號前,30,1
172,500103008,YouBike2.0_臺北孔廟,27,3,大同區,2023-05-27 15:49:14,哈密街61號口對側人行道,24,1
173,500103009,YouBike2.0_捷運圓山站(1號出口),44,5,大同區,2023-05-27 15:49:14,酒泉街235號前,36,1
175,500103011,YouBike2.0_重慶國中,37,5,大同區,2023-05-27 15:22:14,敦煌路19號前,32,1
177,500103013,YouBike2.0_台北數位產業園區,24,3,大同區,2023-05-27 15:45:15,承德路三段287號前方,21,1
178,500103019,YouBike2.0_民權延平路口(西北側),20,3,大同區,2023-05-27 15:47:14,民權西路239號前方,17,1
180,500103021,YouBike2.0_大稻埕公園,25,4,大同區,2023-05-27 15:48:14,安西街1巷7號(對側),21,1
181,500103022,YouBike2.0_大龍老人住宅,14,5,大同區,2023-05-27 15:30:44,民族西路82號前方,9,1
183,500103024,YouBike2.0_捷運大橋頭站(2號出口),57,3,大同區,2023-05-27 15:49:15,捷運大橋頭站(2號出口)西側,53,1
184,500103025,YouBike2.0_捷運大橋頭站(1A出口),18,0,大同區,2023-05-27 15:46:04,民權西路237號旁,16,1
185,500103026,YouBike2.0_捷運民權西路站(2號出口),25,1,大同區,2023-05-27 15:43:04,捷運民權西路站(2號出口)西側,24,1
187,500103028,YouBike2.0_捷運北門站(3號出口),62,1,大同區,2023-05-27 15:49:04,塔城街與鄭州路口西南側,61,1
188,500103029,YouBike2.0_朝陽公園,10,2,大同區,2023-05-27 15:40:22,重慶北路二段62-1號旁,8,1
190,500103031,YouBike2.0_大龍公園,18,0,大同區,2023-05-27 15:42:04,大龍街217號對側,18,1
192,500103033,YouBike2.0_圓山線形公園,14,2,大同區,2023-05-27 15:48:14,玉門街/民族西路(西北側),12,1
193,500103034,YouBike2.0_圓環站,28,2,大同區,2023-05-27 15:49:15,重慶北路一段128號前,26,1
194,500103035,YouBike2.0_重慶民族路口,20,2,大同區,2023-05-27 15:45:15,重慶北路三段162號前,17,1
195,500103036,YouBike2.0_承德路三段8巷口,16,0,大同區,2023-05-27 15:43:04,承德路三段14號前,16,1
197,500103038,YouBike2.0_國順公園,20,4,大同區,2023-05-27 15:49:15,昌吉街117號前,16,1
198,500103039,YouBike2.0_聯合醫院中興院區,27,3,大同區,2023-05-27 15:41:16,長安西路299號(對面),24,1
201,500103042,YouBike2.0_大同運動中心,16,5,大同區,2023-05-27 15:34:13,大龍街51號(旁),11,1
202,500103043,YouBike2.0_重慶保安街口(家樂福重慶店),20,2,大同區,2023-05-27 15:48:04,重慶北路二段171號(旁),18,1
205,500103046,YouBike2.0_民權國中(民權西路),17,5,大同區,2023-05-27 15:45:15,民權西路/蘭州街(西側),12,1
208,500103049,YouBike2.0_承德民生西路口,11,2,大同區,2023-05-27 15:46:15,承德路二段137號前,9,1
